Year-Month,SPY Monthly Max Drawdown,VXX/VIX Monthly Max Drawdown,Ultra Monthly Max Drawdown
2018-09,-0.12384732812690546,-0.13842412350406952,-0.12384732812690646
2018-10,-0.7168073917669864,-0.6851560688673006,-0.6916169972461698
2018-11,-0.781197377504229,-0.7366884351605156,-0.7436418797675881
2018-12,-0.9191369768080004,-0.8938963376912393,-0.8997036302073591
2019-01,-0.9081982530593214,-0.892503522545157,-0.8957130517328011
2019-02,-0.6814360995503781,-0.6364142032441816,-0.6455066043671123
2019-03,-0.6121645675713339,-0.5508030896507083,-0.5632670944812325
2019-04,-0.22213692729922396,-0.13120493028689517,-0.1481507294575234
2019-05,-0.48229881184121504,-0.4822988118412176,-0.4822988118412176
2019-06,-0.27686206790154266,-0.27686206790154466,-0.27686206790154544
2019-07,-0.08018821396715581,-0.0801882139671567,-0.08018821396715625
2019-08,-0.5936640305082383,-0.6785185963604746,-0.6526428724663469
2019-09,-0.20013955076651824,-0.438532649818942,-0.3690864859342766
2019-10,-0.3102480459287459,-0.5316796954998968,-0.4639751292690151
2019-11,-0.02072496332156515,-0.02375620831912484,-0.020724963321565593
2019-12,-0.06697010451373209,-0.06697010451373175,-0.06697010451373109
2020-01,-0.13009793569745065,-0.13009793569745198,-0.13009793569745098
2020-02,-0.39803352055302743,-0.39803352055302754,-0.39803352055302743
2020-03,-0.9955174111659745,-0.9595679653290581,-0.9802103356523841
2020-04,-0.9821814021360075,-0.8312894503362176,-0.9267080643200829
2020-05,-0.9389582195685441,-0.48912488744521154,-0.7744521910481921
2020-06,-0.8373048750265992,-0.5157668848658903,-0.5385858167831576
2020-07,-0.6811478384305916,-0.2448035765646155,-0.2448035765646157
2020-08,-0.10679303818666219,-0.02052959240522556,-0.020529592405225672
2020-09,-0.728609499788765,-0.7286094997887654,-0.7286094997887653
2020-10,-0.6315396789885133,-0.6315396789885135,-0.6315396789885113
2020-11,-0.22618375246168232,-0.22618375246168188,-0.22618375246167977
2020-12,-0.10029563650844964,-0.1002956365084493,-0.10029563650844919
2021-01,-0.13147556456022025,-0.13147556456022036,-0.13147556456021958
2021-02,-0.11046742631194739,-0.11046742631194806,-0.11046742631194839
2021-03,-0.24899807689189335,-0.24899807689189546,-0.24899807689189435
2021-04,-0.04367301723401362,-0.043673017234013733,-0.04367301723401407
2021-05,-0.23668514360170412,-0.23668514360170556,-0.2366851436017121
2021-06,-0.07685456641329014,-0.07685456641329047,-0.07685456641329125
2021-07,-0.09650589255338715,-0.09650589255338715,-0.09650589255338604
2021-08,-0.05960162513831824,-0.05960162513831768,-0.05960162513831868
2021-09,-0.3629878975498726,-0.3629878975498714,-0.3629878975498707
2021-10,-0.3309719269266099,-0.3309719269266106,-0.33097192692660915
2021-11,-0.104194232836326,-0.10419423283632645,-0.10419423283632678
2021-12,-0.19744587208673037,-0.19744587208673003,-0.19744587208673126
2022-01,-0.6123991392011878,-0.6123991392011869,-0.6123991392011896
2022-02,-0.7544077421965749,-0.7544077421965735,-0.754407742196577
2022-03,-0.8494918005126342,-0.8494918005126321,-0.8494918005126371
2022-04,-0.8170754617080567,-0.8170754617080527,-0.817075461708059
2022-05,-0.9672488654915032,-0.9672488654915026,-0.9672488654915035
2022-06,-0.9845545043973879,-0.9845545043973876,-0.984554504397388
2022-07,-0.9784727231868081,-0.9784727231868077,-0.9784727231868084
2022-08,-0.9542612419831458,-0.9542612419831444,-0.9542612419831467
2022-09,-0.987753762470047,-0.9877537624700468,-0.9877537624700473
2022-10,-0.9933926519987698,-0.9933926519987697,-0.9933926519987699
2022-11,-0.9815102315244407,-0.9815102315244404,-0.9815102315244412
2022-12,-0.9831973848473171,-0.983197384847317,-0.9831973848473177
2023-01,-0.9725403119333391,-0.972540311933339,-0.9725403119333398
2023-02,-0.9445270105056406,-0.9445270105056405,-0.9445270105056419
2023-03,-0.983835344223031,-0.9838353442230312,-0.9838353442230316
2023-04,-0.9335576643166076,-0.9335576643166088,-0.9335576643166098
2023-05,-0.9510446816454656,-0.9510446816454667,-0.9510446816454673
2023-06,-0.8515689571953654,-0.8515689571953684,-0.8515689571953708
2023-07,-0.6826257062606125,-0.682625706260622,-0.6826257062606262
2023-08,-0.7964522533112139,-0.7964522533112204,-0.7964522533112247
2023-09,-0.7969779713065694,-0.7969779713065754,-0.7969779713065811
