,skewness,rank,demeaned_rank,weight
JOYY,0.30025604759373714,136.0,-27.0,-0.002044989775051125
NXE,0.30161400215212475,135.0,-28.0,-0.0021207301370900554
ROST,0.3016653215864322,134.0,-29.0,-0.002196470499128986
EWJ,0.30917594446039565,133.0,-30.0,-0.0022722108611679167
HON,0.3175727492303492,132.0,-31.0,-0.002347951223206847
ABEV,0.3226090927756057,131.0,-32.0,-0.0024236915852457776
TWLO,0.34023628277996437,130.0,-33.0,-0.002499431947284708
TSLA,0.3464344787846246,129.0,-34.0,-0.0025751723093236385
SID,0.3485865525999512,128.0,-35.0,-0.0026509126713625693
SAP,0.353978987150911,127.0,-36.0,-0.0027266530334014998
GOOGL,0.3572535090994396,126.0,-37.0,-0.00280239339544043
LRCX,0.3619439082153853,125.0,-38.0,-0.002878133757479361
SNAP,0.369207088321697,124.0,-39.0,-0.0029538741195182915
KO,0.37106209428764914,123.0,-40.0,-0.003029614481557222
YZCAY,0.38461852071604574,122.0,-41.0,-0.0031053548435961524
VEA,0.3959948293064813,121.0,-42.0,-0.003181095205635083
IEUR,0.39617875811937486,120.0,-43.0,-0.0032568355676740137
EFA,0.3963873990586426,119.0,-44.0,-0.003332575929712944
AZN,0.3964069830216254,118.0,-45.0,-0.0034083162917518746
STNE,0.4134264413831388,117.0,-46.0,-0.0034840566537908055
PEP,0.41353068086528905,116.0,-47.0,-0.003559797015829736
PFE,0.4179482420542784,115.0,-48.0,-0.0036355373778686664
QCOM,0.4182908079325545,114.0,-49.0,-0.003711277739907597
UNP,0.4264437109968355,113.0,-50.0,-0.0037870181019465272
IVE,0.4274158543692582,112.0,-51.0,-0.003862758463985458
SBS,0.4506904259193564,111.0,-52.0,-0.003938498826024388
MSTR,0.45274058284122126,110.0,-53.0,-0.004014239188063319
BIIB,0.4539909445494044,109.0,-54.0,-0.00408997955010225
CDE,0.45441021747695665,108.0,-55.0,-0.00416571991214118
DE,0.4560696805114399,107.0,-56.0,-0.004241460274180111
AMZN,0.4651635652536834,106.0,-57.0,-0.004317200636219041
BA,0.46527351636707254,105.0,-58.0,-0.004392940998257972
EBR,0.47145519354964144,104.0,-59.0,-0.004468681360296902
CEG,0.47190514375091674,103.0,-60.0,-0.004544421722335833
WB,0.4852749850865113,102.0,-61.0,-0.004620162084374764
COIN,0.48734484570774494,101.0,-62.0,-0.004695902446413694
